Feature,Type,Definition,Purpose
CouponCode_Imputed,categorical,CouponCode with missing values replaced by NO_COUPON,Semantic missingness treatment
HasCoupon,binary,1 when an order used a coupon; otherwise 0,Predictive feature
OrderYear,integer,Calendar year extracted from Date,Temporal feature
OrderMonth,integer,Calendar month (1-12) extracted from Date,Temporal feature
OrderQuarter,integer,Calendar quarter (1-4),Temporal feature
OrderDayOfWeek,categorical,Weekday name extracted from Date,Temporal feature
IsWeekend,binary,1 for Saturday/Sunday; otherwise 0,Temporal feature
BasketFillRatio,float,Quantity / ItemsInCart,Basket-intensity feature
OrderValuePerCartItem,float,TotalPrice / ItemsInCart,Order-value feature
TotalPrice_IQR_Outlier,binary,1 when TotalPrice falls outside 1.5*IQR bounds,Anomaly flag
TotalPrice_Winsorized,float,TotalPrice clipped to IQR bounds for robust modeling,Outlier-neutralized modeling feature
